string,note,half_steps,distance_cm,px_x,px_y
G,G3,0,0.0,359,513
G,G#3,1,1.841,355,609
G,A3,2,3.579,352,700
G,A#3,3,5.219,348,786
G,B3,4,6.767,345,867
G,C4,5,8.228,343,944
G,C#4,6,9.607,340,1016
G,D4,7,10.909,337,1084
G,D#4,8,12.137,335,1148
D,D4,0,0.0,398,513
D,D#4,1,1.841,397,609
D,E4,2,3.579,396,700
D,F4,3,5.219,394,786
D,F#4,4,6.767,393,867
D,G4,5,8.228,392,944
D,G#4,6,9.607,391,1016
D,A4,7,10.909,390,1084
D,A#4,8,12.137,389,1148
A,A4,0,0.0,440,513
A,A#4,1,1.841,441,609
A,B4,2,3.579,442,700
A,C5,3,5.219,442,786
A,C#5,4,6.767,443,867
A,D5,5,8.228,444,944
A,D#5,6,9.607,445,1016
A,E5,7,10.909,446,1084
A,F5,8,12.137,446,1148
E,E5,0,0.0,475,513
E,F5,1,1.841,478,609
E,F#5,2,3.579,481,700
E,G5,3,5.219,484,786
E,G#5,4,6.767,486,867
E,A5,5,8.228,489,944
E,A#5,6,9.607,491,1016
E,B5,7,10.909,493,1084
E,C6,8,12.137,495,1148
